,A股代码,证券简称,总股本,流通股本,上市日期,所属行业,地区,报告日期,交易所,板块
26,831010,凯添燃气,234500000,161168103,2020-07-27,燃气生产和供应业,宁夏回族自治区,2023-09-20,北交所,北交所
27,831039,国义招标,153820000,153819900,2021-08-18,专业技术服务业,广东省,2023-09-20,北交所,北交所
28,831087,秋乐种业,165200000,71150100,2022-12-07,农业,河南省,2023-09-20,北交所,北交所
29,831152,昆工科技,108591700,83112333,2022-09-01,有色金属冶炼和压延加工业,云南省,2023-09-20,北交所,北交所
30,831167,鑫汇科,49982941,20212293,2022-05-27,电气机械和器材制造业,广东省,2023-09-20,北交所,北交所
31,831195,三祥科技,98030000,39229000,2022-12-30,汽车制造业,山东省,2023-09-20,北交所,北交所
32,831278,泰德股份,143206000,58789266,2022-06-20,通用设备制造业,山东省,2023-09-20,北交所,北交所
33,831304,迪尔化工,162288000,58382910,2023-04-18,化学原料和化学制品制造业,山东省,2023-09-20,北交所,北交所
34,831305,海希通讯,140260000,109725194,2021-11-05,仪器仪表制造业,上海市,2023-09-20,北交所,北交所
35,831370,新安洁,306280000,267475469,2020-07-27,公共设施管理业,重庆市,2023-09-20,北交所,北交所
36,831445,龙竹科技,149146025,92456474,2020-07-27,家具制造业,福建省,2023-09-20,北交所,北交所
37,831526,凯华材料,82700000,24680068,2022-12-22,计算机、通信和其他电子设备制造业,天津市,2023-09-20,北交所,北交所
38,831627,力王股份,91000000,24498700,2023-09-07,电气机械和器材制造业,广东省,2023-09-20,北交所,北交所
39,831641,格利尔,75075000,25689670,2022-12-02,电气机械和器材制造业,江苏省,2023-09-20,北交所,北交所
40,831689,克莱特,73400000,35521795,2022-03-21,通用设备制造业,山东省,2023-09-20,北交所,北交所
41,831726,朱老六,101910000,55939705,2021-05-27,食品制造业,吉林省,2023-09-20,北交所,北交所
42,831768,拾比佰,110970000,76205828,2021-06-28,金属制品业,广东省,2023-09-20,北交所,北交所
43,831832,科达自控,77280000,61102798,2021-11-15,软件和信息技术服务业,山西省,2023-09-20,北交所,北交所
44,831834,三维股份,120000005,32964004,2022-08-22,橡胶和塑料制品业,江苏省,2023-09-20,北交所,北交所
45,831855,浙江大农,74733333,21028406,2022-12-29,通用设备制造业,浙江省,2023-09-20,北交所,北交所
46,831856,浩淼科技,87105203,56241101,2020-12-25,专用设备制造业,安徽省,2023-09-20,北交所,北交所
47,831906,舜宇精工,64970000,19964400,2023-02-22,汽车制造业,浙江省,2023-09-20,北交所,北交所
48,831961,创远信科,142840508,105438808,2020-07-27,仪器仪表制造业,上海市,2023-09-20,北交所,北交所
49,832000,安徽凤凰,91680000,32811381,2020-12-23,汽车制造业,安徽省,2023-09-20,北交所,北交所
50,832023,田野股份,327304000,245983400,2023-02-02,农副食品加工业,广西壮族自治区,2023-09-20,北交所,北交所
51,832089,禾昌聚合,107620000,66786299,2021-11-09,橡胶和塑料制品业,江苏省,2023-09-20,北交所,北交所
52,832110,雷特科技,39000000,12027000,2022-12-06,计算机、通信和其他电子设备制造业,广东省,2023-09-20,北交所,北交所
53,832145,恒合股份,70550000,44827250,2021-11-15,生态保护和环境治理业,北京市,2023-09-20,北交所,北交所
54,832149,利尔达,421630000,114538843,2023-02-17,计算机、通信和其他电子设备制造业,浙江省,2023-09-20,北交所,北交所
55,832171,志晟信息,100233235,67163233,2021-11-15,软件和信息技术服务业,河北省,2023-09-20,北交所,北交所
56,832175,东方碳素,119000000,55703299,2023-06-30,非金属矿物制品业,河南省,2023-09-20,北交所,北交所
57,832225,利通科技,105765745,57639355,2021-02-25,橡胶和塑料制品业,河南省,2023-09-20,北交所,北交所
58,832278,鹿得医疗,176000000,72988400,2020-07-27,专用设备制造业,江苏省,2023-09-20,北交所,北交所
