,A股代码,证券简称,证券全称,上市日期,板块,B股代码,交易所
285,600365,ST通葡,通化葡萄酒股份有限公司,2001-01-15,主板A股,,上交所
286,600366,宁波韵升,宁波韵升股份有限公司,2000-10-30,主板A股,,上交所
287,600367,红星发展,贵州红星发展股份有限公司,2001-03-20,主板A股,,上交所
288,600368,五洲交通,广西五洲交通股份有限公司,2000-12-21,主板A股,,上交所
289,600369,西南证券,西南证券股份有限公司,2001-01-09,主板A股,,上交所
290,600370,三房巷,江苏三房巷聚材股份有限公司,2003-03-06,主板A股,,上交所
291,600371,万向德农,万向德农股份有限公司,2002-09-16,主板A股,,上交所
292,600372,中航机载,中航机载系统股份有限公司,2001-07-06,主板A股,,上交所
293,600373,中文传媒,中文天地出版传媒集团股份有限公司,2002-03-04,主板A股,,上交所
294,600375,汉马科技,汉马科技集团股份有限公司,2003-04-01,主板A股,,上交所
295,600376,首开股份,北京首都开发股份有限公司,2001-03-12,主板A股,,上交所
296,600377,宁沪高速,江苏宁沪高速公路股份有限公司,2001-01-16,主板A股,,上交所
297,600378,昊华科技,昊华化工科技集团股份有限公司,2001-01-11,主板A股,,上交所
298,600379,宝光股份,陕西宝光真空电器股份有限公司,2002-01-16,主板A股,,上交所
299,600380,健康元,健康元药业集团股份有限公司,2001-06-08,主板A股,,上交所
300,600381,青海春天,青海春天药用资源科技股份有限公司,2001-05-08,主板A股,,上交所
301,600382,广东明珠,广东明珠集团股份有限公司,2001-01-18,主板A股,,上交所
302,600383,金地集团,金地(集团)股份有限公司,2001-04-12,主板A股,,上交所
303,600386,北巴传媒,北京巴士传媒股份有限公司,2001-02-16,主板A股,,上交所
304,600387,ST海越,海越能源集团股份有限公司,2004-02-18,主板A股,,上交所
305,600388,龙净环保,福建龙净环保股份有限公司,2000-12-29,主板A股,,上交所
306,600389,江山股份,南通江山农药化工股份有限公司,2001-01-10,主板A股,,上交所
307,600390,五矿资本,五矿资本股份有限公司,2001-01-15,主板A股,,上交所
308,600391,航发科技,中国航发航空科技股份有限公司,2001-12-12,主板A股,,上交所
309,600392,盛和资源,盛和资源控股股份有限公司,2003-05-29,主板A股,,上交所
310,600395,盘江股份,贵州盘江精煤股份有限公司,2001-05-31,主板A股,,上交所
311,600396,*ST金山,沈阳金山能源股份有限公司,2001-03-28,主板A股,,上交所
312,600397,安源煤业,安源煤业集团股份有限公司,2002-07-02,主板A股,,上交所
313,600398,海澜之家,海澜之家集团股份有限公司,2000-12-28,主板A股,,上交所
